,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),TP53 (M)
FAT1 (M),-1.3,-0.23,0.11,0.0,-3.51
APC (M),-2.89,1.74,-2.93,-0.0,-1.32
CTNNB1 (M),0.0,-1.34,-0.6,-0.55,-2.59
AMER1 (M),0.38,-0.71,-2.21,-1.01,-2.57
TP53 (M),-0.83,-0.77,-0.96,-1.01,1.38
