,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),RNF43 (M)
FAT1 (M),-3.14,0.13,0.92,0.0,1.79
APC (M),-2.36,1.47,-3.04,-0.0,-4.77
CTNNB1 (M),0.0,-1.97,-1.09,-0.0,-2.6
AMER1 (M),0.81,-0.02,-1.25,-2.5,0.0
RNF43 (M),-0.0,-2.22,-0.25,0.6,-0.78
