,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),FLT3/13q (Amp)
FAT1 (M),-1.8,-0.32,0.0,0.0,-1.62
APC (M),-2.5,1.17,-3.88,-0.24,0.0
CTNNB1 (M),0.14,-0.99,-1.15,-0.55,-2.64
AMER1 (M),0.6,-0.2,-1.89,-1.79,-1.78
FLT3/13q (Amp),-2.55,-1.01,-0.91,-0.8,0.73
