,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),ID3/1p (Del)
FAT1 (M),-2.13,-0.45,0.42,0.89,-1.67
APC (M),-2.82,1.2,-3.36,-0.01,-0.29
CTNNB1 (M),0.0,-1.38,-1.33,-0.16,-1.61
AMER1 (M),0.01,-0.77,-2.25,-1.78,-0.89
ID3/1p (Del),-1.67,-0.72,-0.82,-0.99,-0.37
