,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),SOX9 (M)
FAT1 (M),-2.32,-0.61,0.57,1.07,-0.0
APC (M),-2.51,1.24,-3.4,-1.02,-1.08
CTNNB1 (M),0.0,-1.53,-1.42,-0.1,-0.75
AMER1 (M),-0.0,-0.0,-1.66,-2.51,0.51
SOX9 (M),0.38,-0.76,-0.0,-0.0,-1.51
