,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),ATM (M)
FAT1 (M),-2.48,-0.52,0.44,0.9,1.16
APC (M),-3.09,1.21,-3.52,-0.0,-2.43
CTNNB1 (M),0.0,-1.51,-1.48,-0.13,-0.0
AMER1 (M),0.0,-0.76,-2.14,-1.95,0.01
ATM (M),0.0,-0.27,-0.12,0.0,-2.25
