,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),TGFBR2 (M)
FAT1 (M),-2.42,-0.4,0.55,0.0,0.79
APC (M),-2.84,1.26,-3.38,-0.31,-3.05
CTNNB1 (M),0.0,-1.58,-1.4,-0.2,-0.88
AMER1 (M),0.95,-0.15,-1.43,-2.42,-0.0
TGFBR2 (M),-0.0,-1.38,-0.02,1.15,-1.96
