,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),PTPRS (M)
FAT1 (M),-2.57,-0.41,0.33,0.0,1.58
APC (M),-2.65,1.26,-3.82,-0.46,-2.95
CTNNB1 (M),0.0,-1.45,-1.5,-0.32,0.0
AMER1 (M),0.91,-0.16,-1.5,-2.41,-0.0
PTPRS (M),-0.0,-0.76,0.0,0.31,-1.78
