,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),SMAD4/18q (Del)
FAT1 (M),-1.6,-0.18,0.0,0.0,-2.62
APC (M),-2.34,1.09,-3.82,-0.02,0.19
CTNNB1 (M),0.0,-0.87,-1.02,-0.61,-3.06
AMER1 (M),0.32,-0.41,-2.06,-1.57,-1.54
SMAD4/18q (Del),-2.44,-1.28,-0.78,-1.35,1.13
