,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),PIK3CA (M)
FAT1 (M),-2.48,-0.6,0.47,0.92,0.59
APC (M),-2.5,1.33,-3.16,-0.0,-2.22
CTNNB1 (M),-0.0,-1.55,-1.44,-0.12,-0.15
AMER1 (M),0.0,-0.54,-1.93,-2.08,0.0
PIK3CA (M),0.0,-0.18,-0.01,0.07,-0.94
