,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),MYC/8q (Amp)
FAT1 (M),-1.98,-0.5,0.4,0.77,-1.33
APC (M),-2.96,1.39,-3.3,-0.01,-0.9
CTNNB1 (M),0.0,-1.44,-1.11,-0.27,-1.75
AMER1 (M),0.01,-0.85,-2.3,-1.53,-1.4
MYC/8q (Amp),-1.21,-1.02,-0.96,-1.42,0.4
