,FAT1 (M),APC (M),CTNNB1 (M),AMER1 (M),null
FAT1 (M),-2.31,-0.61,0.51,1.06,0.0
APC (M),-2.74,1.18,-3.45,-0.7,0.0
CTNNB1 (M),0.0,-1.54,-1.47,-0.19,0.0
AMER1 (M),0.0,-0.28,-1.76,-2.25,0.0
null,0.0,0.0,0.0,0.0,0.0
