,T0,T1,T2,D_0
T0,-0.55,-0.42,0.0,0.0
T1,-0.79,-2.1,0.36,1.43
T2,0.26,-0.0,-1.99,-0.0
D_0,0.0,0.0,-0.2,-1.91
