,T0,T1,T2,C_0
T0,-0.5,-0.69,0.0,-0.36
T1,-0.26,-1.97,0.0,0.09
T2,0.3,0.29,-2.01,-0.32
C_0,-0.6,0.0,-0.0,-1.7
