,TP53 (M),RB1 (M),RB1/13q (Del),KMT2D (M)
TP53 (M),-0.3,1.08,-0.28,-0.0
RB1 (M),0.0,-3.16,0.01,-1.18
RB1/13q (Del),-0.15,0.0,-1.15,-0.33
KMT2D (M),-0.29,-0.98,-0.74,-3.21
