,TP53 (M),RB1 (M),RB1/13q (Del),BCL2/18q (Del)
TP53 (M),-0.35,1.08,-0.29,0.25
RB1 (M),0.0,-3.15,0.08,-0.2
RB1/13q (Del),-0.26,0.0,-1.54,1.39
BCL2/18q (Del),-2.17,-0.0,-1.22,-0.57
