,TP53 (M),RB1 (M),RB1/13q (Del),ERBB2 (M)
TP53 (M),-0.28,1.1,-0.38,0.0
RB1 (M),0.0,-3.18,0.0,-0.01
RB1/13q (Del),-0.07,0.0,-1.18,-0.16
ERBB2 (M),-1.13,-0.01,-1.47,-2.75
