,TP53 (M),RB1 (M),RB1/13q (Del),ATM (M)
TP53 (M),-0.2,0.0,-0.41,-1.16
RB1 (M),1.06,-3.72,-0.02,-0.81
RB1/13q (Del),-0.01,-0.01,-1.19,-0.48
ATM (M),-1.98,-0.48,-0.0,-2.33
