,TP53 (M),RB1 (M),RB1/13q (Del),CDKN2A/9p (Del)
TP53 (M),-0.17,1.09,-0.32,-0.49
RB1 (M),0.0,-2.94,0.41,-1.77
RB1/13q (Del),-0.01,-0.0,-1.36,0.49
CDKN2A/9p (Del),-0.87,-0.59,-0.0,-0.45
