,TP53 (M),RB1 (M),RB1/13q (Del),MET (M)
TP53 (M),-0.26,0.0,-0.15,-1.14
RB1 (M),1.09,-3.77,-0.0,0.07
RB1/13q (Del),-0.27,-0.0,-1.09,-0.88
MET (M),-0.94,0.0,-0.57,-2.75
