,TP53 (M),RB1 (M),RB1/13q (Del),SMAD4 (M)
TP53 (M),-0.29,0.62,-0.15,-0.33
RB1 (M),0.55,-3.44,0.0,-0.0
RB1/13q (Del),-0.28,0.0,-1.11,-0.45
SMAD4 (M),-1.07,-0.0,-0.67,-2.97
