,TP53 (M),RB1 (M),RB1/13q (Del),TERT/5p (Amp)
TP53 (M),-0.2,0.0,-0.0,-0.44
RB1 (M),1.08,-3.87,0.0,0.27
RB1/13q (Del),-0.29,0.0,-0.97,-0.55
TERT/5p (Amp),-0.39,0.0,-0.09,-0.46
