,TP53 (M),RB1 (M),RB1/13q (Del),ARID2 (M)
TP53 (M),-0.29,1.07,-0.31,0.0
RB1 (M),0.0,-3.18,0.01,-0.13
RB1/13q (Del),-0.12,0.0,-1.16,-0.57
ARID2 (M),0.0,-0.27,-0.57,-3.34
