,TP53 (M),RB1 (M),RB1/13q (Del),NF1 (M)
TP53 (M),-0.31,0.0,-0.02,-0.0
RB1 (M),1.05,-3.74,0.0,-0.17
RB1/13q (Del),-0.42,0.0,-1.06,-0.28
NF1 (M),-0.33,-0.0,-0.48,-2.58
