,T0,T1,T2,B_0
T0,-0.84,-0.02,0.01,-0.23
T1,-1.02,-2.0,0.0,0.74
T2,0.12,0.66,-2.18,-0.04
B_0,0.0,-0.0,-0.07,-1.69
