,T0,T1,T2,E_0
T0,-0.58,-1.39,0.01,-0.0
T1,-0.33,-2.1,-0.0,-0.42
T2,-0.0,1.23,-2.09,0.0
E_0,-0.24,-0.36,-0.0,-2.18
