,T0,T1,T2,D_0
T0,-0.58,-1.52,0.02,-0.0
T1,-0.31,-2.13,0.0,0.0
T2,-0.0,1.19,-2.07,-0.06
D_0,-0.0,0.74,-0.01,-2.23
