,T0,T1,T2,B_2
T0,-0.58,-1.52,0.0,0.04
T1,-0.38,-2.16,-0.0,0.31
T2,-0.0,1.16,-2.07,-0.02
B_2,0.0,0.28,-0.0,-1.68
