,T0,T1,T2,A_1
T0,-0.58,-1.4,0.01,-0.0
T1,-0.32,-2.09,-0.0,-0.39
T2,-0.0,1.23,-2.05,-0.26
A_1,-0.06,-0.02,-0.64,-1.72
