,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CREBBP (M)
PIK3CA (M),-0.62,-0.45,-1.12,-0.01
SMAD4 (M),-0.84,-1.79,-0.0,-1.14
SMAD4/18q (Del),-2.21,-1.0,0.86,-2.57
CREBBP (M),-0.12,-1.04,-2.24,-2.07
