,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ASXL1 (M)
PIK3CA (M),-0.59,-0.38,-1.19,-0.07
SMAD4 (M),-0.93,-1.79,-0.01,-0.94
SMAD4/18q (Del),-2.12,-0.93,0.82,-1.45
ASXL1 (M),-0.0,-0.4,-2.46,-2.36
