,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),BRAF (M)
PIK3CA (M),-0.52,-0.24,-1.18,-0.78
SMAD4 (M),-1.09,-1.75,0.0,-0.5
SMAD4/18q (Del),-2.38,-0.86,1.01,-2.95
BRAF (M),-0.86,-0.0,-1.77,-0.96
