,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),POLE (M)
PIK3CA (M),-0.58,-0.38,-1.24,-0.07
SMAD4 (M),-0.93,-1.8,-0.0,-0.61
SMAD4/18q (Del),-2.04,-0.91,0.81,-1.94
POLE (M),-0.11,-0.58,-2.02,-2.76
