,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),BCOR (M)
PIK3CA (M),-0.55,-0.39,-1.25,-0.54
SMAD4 (M),-0.91,-1.8,-0.0,-0.55
SMAD4/18q (Del),-2.08,-0.9,0.84,-2.53
BCOR (M),-0.61,-0.24,-2.39,-2.17
