,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),SETD2 (M)
PIK3CA (M),-0.59,-0.37,-1.17,-0.67
SMAD4 (M),-0.96,-1.79,-0.01,-1.06
SMAD4/18q (Del),-2.22,-0.92,0.83,-1.84
SETD2 (M),-0.01,-0.18,-2.69,-2.56
