,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ARID1A (M)
PIK3CA (M),-0.46,-0.55,-1.37,-0.65
SMAD4 (M),-0.69,-1.77,-0.02,-0.94
SMAD4/18q (Del),-1.86,-0.94,0.93,-1.98
ARID1A (M),-0.47,-0.47,-2.51,-1.07
