,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ARID1A/1p (Del)
PIK3CA (M),-0.45,-0.22,-1.73,0.0
SMAD4 (M),-1.12,-1.36,-0.63,-0.59
SMAD4/18q (Del),-1.56,-0.0,0.59,1.0
ARID1A/1p (Del),-1.15,-0.7,-0.0,-0.75
