,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KMT2A (M)
PIK3CA (M),-0.58,-0.37,-1.19,-0.53
SMAD4 (M),-0.94,-1.78,-0.01,-1.29
SMAD4/18q (Del),-2.17,-0.97,0.84,-2.08
KMT2A (M),-0.01,-0.71,-2.83,-2.28
