,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),null
PIK3CA (M),-0.44,-0.24,-1.75,0.0
SMAD4 (M),-1.12,-1.39,-0.79,0.0
SMAD4/18q (Del),-1.51,-0.03,0.7,0.0
null,0.0,0.0,0.0,0.0
