,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),B2M/15q (Del)
PIK3CA (M),-0.44,-0.06,-1.81,-0.0
SMAD4 (M),-1.36,-1.32,-0.63,-0.75
SMAD4/18q (Del),-1.53,-0.0,0.6,0.9
B2M/15q (Del),-0.97,-0.63,0.0,-0.84
