,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FBXW7 (M)
PIK3CA (M),-0.57,-0.43,-1.15,-0.31
SMAD4 (M),-0.85,-1.73,-0.0,-1.08
SMAD4/18q (Del),-2.17,-1.01,0.96,-2.25
FBXW7 (M),-0.58,-0.68,-1.35,-1.02
