,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),TP53/17p (Del)
PIK3CA (M),-0.46,-0.45,-1.63,0.0
SMAD4 (M),-0.84,-1.57,-0.43,-0.05
SMAD4/18q (Del),-1.43,0.0,0.08,2.05
TP53/17p (Del),-2.64,-1.84,-1.74,0.44
