,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CASP8 (M)
PIK3CA (M),-0.56,-0.37,-1.23,-0.57
SMAD4 (M),-0.95,-1.8,-0.0,-0.73
SMAD4/18q (Del),-2.14,-0.94,0.85,-3.73
CASP8 (M),-0.6,-0.24,-3.77,-2.25
