,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KMT2C (M)
PIK3CA (M),-0.61,-0.25,-1.19,-0.0
SMAD4 (M),-1.11,-1.74,-0.05,-1.09
SMAD4/18q (Del),-2.14,-0.9,0.84,-1.95
KMT2C (M),-0.61,-0.78,-2.16,-2.01
