,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KMT2D (M)
PIK3CA (M),-0.61,-0.33,-1.09,-0.29
SMAD4 (M),-1.02,-1.76,-0.0,-0.72
SMAD4/18q (Del),-2.41,-0.99,0.96,-3.23
KMT2D (M),-0.78,-0.27,-2.77,-1.23
