,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),TGFBR2 (M)
PIK3CA (M),-0.64,-0.41,-1.05,-0.05
SMAD4 (M),-0.92,-1.78,-0.0,-1.32
SMAD4/18q (Del),-2.46,-1.05,0.89,-3.17
TGFBR2 (M),-0.88,-1.02,-3.29,-1.85
