,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),NCOR1 (M)
PIK3CA (M),-0.53,-0.44,-1.32,-0.88
SMAD4 (M),-0.85,-1.81,-0.0,-0.54
SMAD4/18q (Del),-1.98,-0.89,0.81,-2.05
NCOR1 (M),-0.9,-0.28,-1.83,-2.61
