,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTPRS (M)
PIK3CA (M),-0.67,-0.27,-1.0,-0.12
SMAD4 (M),-1.17,-1.76,-0.0,-0.57
SMAD4/18q (Del),-2.67,-0.95,0.92,-2.37
PTPRS (M),-1.27,-0.36,-2.02,-1.45
