,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),NF1 (M)
PIK3CA (M),-0.61,-0.23,-1.1,-1.27
SMAD4 (M),-1.25,-1.73,-0.07,-0.44
SMAD4/18q (Del),-2.44,-0.83,0.83,-1.16
NF1 (M),-0.12,-0.97,-2.23,-2.31
