,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),MSH6 (M)
PIK3CA (M),-0.56,-0.28,-1.24,-0.7
SMAD4 (M),-1.1,-1.65,-0.25,-0.27
SMAD4/18q (Del),-2.1,-0.5,0.84,-3.35
MSH6 (M),-0.0,-0.75,-2.54,-2.24
