,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTEN (M)
PIK3CA (M),-0.56,-0.26,-1.27,-0.49
SMAD4 (M),-1.08,-1.79,-0.0,-0.14
SMAD4/18q (Del),-2.01,-0.88,0.83,-1.67
PTEN (M),-0.14,-0.49,-1.3,-2.08
