,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),CIC (M)
PIK3CA (M),-0.36,-0.81,-2.04,-0.0
SMAD4 (M),-0.4,-1.85,-0.02,-1.24
SMAD4/18q (Del),-1.18,-0.89,0.75,-1.89
CIC (M),-0.0,-0.78,-3.26,-2.42
