,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTCH1 (M)
PIK3CA (M),-0.62,-0.3,-1.14,-0.09
SMAD4 (M),-1.06,-1.79,-0.0,-0.32
SMAD4/18q (Del),-2.26,-0.91,0.84,-2.57
PTCH1 (M),-0.47,-0.05,-2.29,-2.39
