,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),KDM5A (M)
PIK3CA (M),-0.55,-0.42,-1.27,-0.86
SMAD4 (M),-0.87,-1.81,-0.0,-0.31
SMAD4/18q (Del),-2.07,-0.87,0.82,-2.18
KDM5A (M),-0.51,-0.01,-2.65,-2.6
