,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),ARID1B (M)
PIK3CA (M),-0.56,-0.39,-1.26,-0.43
SMAD4 (M),-0.91,-1.8,-0.0,-0.91
SMAD4/18q (Del),-2.03,-0.97,0.83,-2.41
ARID1B (M),-0.19,-0.81,-2.62,-2.39
