,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),MAPK3/16p (Amp)
PIK3CA (M),-0.58,-0.15,-1.05,-0.43
SMAD4 (M),-1.58,-1.33,-0.55,-0.75
SMAD4/18q (Del),-2.36,-0.13,0.76,0.0
MAPK3/16p (Amp),-3.1,-1.08,-0.58,-0.43
