,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PTPRT (M)
PIK3CA (M),-0.63,-0.42,-1.05,-0.28
SMAD4 (M),-0.94,-1.79,-0.01,-0.52
SMAD4/18q (Del),-2.5,-0.88,0.84,-1.37
PTPRT (M),-1.67,-0.28,-1.72,-2.07
