,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PRKD1/14q (Del)
PIK3CA (M),-0.42,-0.16,-1.85,-0.03
SMAD4 (M),-1.22,-1.37,-0.53,-0.88
SMAD4/18q (Del),-1.39,-0.0,0.56,1.41
PRKD1/14q (Del),-2.08,-1.15,-0.0,-0.87
