,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),SPEN (M)
PIK3CA (M),-0.55,-0.41,-1.23,-0.79
SMAD4 (M),-0.91,-1.79,-0.0,-1.11
SMAD4/18q (Del),-2.17,-0.99,0.87,-2.94
SPEN (M),-0.86,-0.67,-2.79,-2.07
