,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),AMER1 (M)
PIK3CA (M),-0.57,-0.35,-1.24,-0.24
SMAD4 (M),-0.96,-1.8,-0.0,-0.22
SMAD4/18q (Del),-2.05,-0.85,0.84,-1.65
AMER1 (M),-0.5,-0.12,-1.35,-1.92
