,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FAT1 (M)
PIK3CA (M),-0.56,-0.4,-1.24,-0.28
SMAD4 (M),-0.89,-1.79,-0.01,-0.98
SMAD4/18q (Del),-2.02,-0.95,0.84,-1.94
FAT1 (M),-0.01,-0.84,-2.4,-2.12
