,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),PIK3R1 (M)
PIK3CA (M),-0.49,-0.52,-1.39,-1.27
SMAD4 (M),-0.77,-1.8,-0.0,-0.99
SMAD4/18q (Del),-1.89,-0.91,0.82,-1.68
PIK3R1 (M),-1.27,-0.77,-1.45,-2.27
