,PIK3CA (M),SMAD4 (M),SMAD4/18q (Del),FLT3/13q (Amp)
PIK3CA (M),0.16,-0.79,-2.6,-2.33
SMAD4 (M),-0.63,-1.14,-0.33,-1.44
SMAD4/18q (Del),-0.85,-0.05,0.62,-0.0
FLT3/13q (Amp),-0.78,-0.64,-0.26,0.51
