,T0,T1,T2,A_0
T0,-0.81,-0.3,0.0,-0.01
T1,-0.31,-1.81,0.0,-0.24
T2,0.67,0.44,-2.31,-0.06
A_0,-0.52,-0.25,-0.01,-2.29
